task_id	name	status	exit	realtime	peak_vmem	peak_rss
692	perform_pairwise_association_test (538)	COMPLETED	0	9m 19s	3 GB	2.5 GB
693	perform_pairwise_association_test (539)	COMPLETED	0	8m 44s	3 GB	2.5 GB
918	perform_pairwise_association_test (764)	COMPLETED	0	9m	3 GB	2.5 GB
919	perform_pairwise_association_test (765)	COMPLETED	0	8m 44s	3 GB	2.5 GB
921	perform_pairwise_association_test (767)	COMPLETED	0	8m 58s	3 GB	2.6 GB
659	perform_pairwise_association_test (505)	COMPLETED	0	10m 11s	3 GB	2.5 GB
382	perform_pairwise_association_test (228)	COMPLETED	0	9m 7s	3 GB	2.5 GB
525	perform_pairwise_association_test (371)	COMPLETED	0	11m 6s	3 GB	2.5 GB
661	perform_pairwise_association_test (507)	COMPLETED	0	9m 21s	3 GB	2.5 GB
691	perform_pairwise_association_test (537)	COMPLETED	0	9m 53s	3 GB	2.5 GB
1008	perform_pairwise_association_test (854)	COMPLETED	0	9m 29s	3 GB	2.5 GB
383	perform_pairwise_association_test (229)	COMPLETED	0	9m 12s	3 GB	2.5 GB
385	perform_pairwise_association_test (231)	COMPLETED	0	9m 8s	3 GB	2.5 GB
386	perform_pairwise_association_test (232)	COMPLETED	0	8m 55s	3 GB	2.5 GB
771	perform_pairwise_association_test (617)	COMPLETED	0	8m 55s	3 GB	2.5 GB
380	perform_pairwise_association_test (226)	COMPLETED	0	9m 32s	3 GB	2.5 GB
773	perform_pairwise_association_test (619)	COMPLETED	0	9m 14s	3 GB	2.5 GB
772	perform_pairwise_association_test (618)	COMPLETED	0	8m 58s	3 GB	2.5 GB
920	perform_pairwise_association_test (766)	COMPLETED	0	10m 26s	3.3 GB	2.7 GB
467	perform_pairwise_association_test (313)	COMPLETED	0	9m 32s	3 GB	2.5 GB
774	perform_pairwise_association_test (620)	COMPLETED	0	9m 20s	3 GB	2.5 GB
696	perform_pairwise_association_test (542)	COMPLETED	0	9m 26s	3 GB	2.5 GB
698	perform_pairwise_association_test (544)	COMPLETED	0	9m 26s	3 GB	2.5 GB
699	perform_pairwise_association_test (545)	COMPLETED	0	9m 13s	3 GB	2.5 GB
700	perform_pairwise_association_test (546)	COMPLETED	0	9m 12s	3 GB	2.5 GB
706	perform_pairwise_association_test (552)	COMPLETED	0	8m 54s	3 GB	2.5 GB
